word,definition
elephant,a very large mammal with ivory tusks and a long trunk
butterfly,an insect with large colorful wings
rainbow,an arc of colors that appears in the sky after rain
mountain,a very high hill or peak
ocean,a very large body of salt water
telescope,an instrument for looking at distant objects
adventure,an exciting or dangerous experience
treasure,valuable things like gold and jewels
dragon,a mythical creature that breathes fire
castle,a large fortified building
wizard,a person who practices magic
princess,a female member of a royal family
knight,a warrior in armor who serves a king
forest,a large area covered with trees
village,a small town in the countryside